번호,프로그램명,테마별 분류,서비스 지역,프로그램 소개,프로그램 상세 소개
1,자연과 문화를 함께 즐기는 설악산 기행,"문화생태체험,자연생태체험,",강원도 속초,"설악산 탐방안내소, 신흥사, 권금성, 비룡폭포"," 설악산은 왜 설악산이고, 신흥사는 왜 신흥사일까요? 설악산에 대해 정확히 알고, 배우고, 느낄 수 있는 당일형 생태관광입니다."
2,[설악산] 설악산에서 길을 묻다(설악을 내 품에),"아동·청소년 체험학습,","강원도 속초, 양양, 고성",소규모 학생을 위한 수학여행 프로그램!," 보는 수학여행이 아닌 하는 수학여행! 해설이 있고, 즐거운 산으로의 여행! 마을에서 놀면서 배우는 여행!"
3,오대산국립공원 해피700!! 문화·생태 여행,문화생태체험,강원도 오대산국립공원,"월정사, 전나무 숲길, 성보박물관"," ★ 월정사 역사·문화 해설 ★ 전나무 숲 자연해설 ★ 성보박물관 탐방"
4,치악산국립공원과 함께하는 건강나누리캠프,건강나누리캠프,강원도 원주시 소초면 무쇠점2길,"숲치유, 환경성질환 교육 및 상담, 친환경 만들기체험 등"," -숲치유활동 : 금강소나무숲길과 전나무숲에서의 놀이와 명상, 체조를 통한 치유 -환경성질환 교육 : 전문 의료인의 교육 및 상담/진단을 통한 환경성질환 예방 및 조기치유 방법 전달 -친환경 만들기 : 밤호박찐방, 황토허브비누 등 몸에 좋은 먹거리와 비누를 직접 만드는 체험"
5,FTA와 함께 하는 녹색공간 속 건강찾기(당일형),농어촌생태체험,강원도 원주시 소초면 학곡리 900번지,"구룡지구 명품 금강소나무길 체험, 학곡1리향토요리체험장 "," 국립공원의 신비한 자연 생태 체험과  농촌마을에서의 전통음식, 전통놀이 체험을 통하여 자연과 교감하고 잊혀져가는 우리 문화의 소중함을 되새길 수 있는 프로그램입니다.  "
6,아빠와 함께 하는 저탄소 녹색휴가(1박2일),"자연생태체험,",강원도 원주시 소초면 학곡리 900번지,"명품 금강소나무길 체험(자연해설, 숲명상, 숲치유, 맨발걷기 등), 아빠와 캠프 등", 여름 휴가철을 맞아 환경을 사랑하는 가족을 대상으로 운영하는 친환경 캠핑 프로그램입니다. 숲과 계곡에 살고 있는 자연의 친구들도 만나보고 놀이를 통해 지구 환경의 중요성도 느껴볼 수 있습니다. 또한 재미있는 가족대항 게임을 통하여 가족의 정을 북돋을수 있는 추억의 시간을 마련해 드립니다.
7,FTA와 함께 하는 녹색공간속 건강찾기(당일형),"농어촌생태체험,",강원도 원주시 소초면 학곡리 900번지,"구룡지구 금강소나무 명품녹색길 체험, 학곡1리향토요리체험장", 기존 운영되던 국립공원 자연해설에 공원 인근지역의 특성을 반영한 농촌체험을 가미함으로써 다양한 체험거리를 제공하고 지역경제 활성화 뿐만 아니라 지역주민과의 유대관계 형성에도 크게 기여하는 고품격 생태관광
8,자연과 문화가 있는 치악산 수학여행,"아동·청소년 체험학습,",강원도 원주시 소초면 학곡리 900번지,"강원감영, 국립공원 에코투어 해설, 멸종위기동식물원, 농촌체험, 박경리 문학공원, 템플스테이 체험, 레크레이션, 고판화 박물관"," 수려한 경관의 치악산 국립공원은 강원권의 교통요지인 원주시에 인접해 있어 수도권과의 거리가 가깝습니다. 자연을 제대로 느낄 수 있는 국립공원 에코투어의 다양한 프로그램을 통해 색다른 수학여행을 즐길 수 있습니다. 문화가 있는 수학여행으로서 박경리 문학관과 고판화 박물관을 통해 다양한 전시물 관람과 판화 체험 등을 할 수 있습니다. 아름다운 자연과 함께 하고 싶다면 야영을, 체험형 숙박을 원한다면 템플스테이를, 지역주민의 따뜻한 마음을 느끼고 싶다면 민박을 선택 할 수 있는 숙박의 다양화가 구축되어 있습니다. 자연의 향기를 제대로 느끼고 색다른 체험을 원한다면 '자연과 문화가 있는 치악산 수학여행'에 참여해 보시길 바랍니다."
9,FTA와 함께 하는 녹색공간 속 건강찾기(1박2일),"자연생태체험,",강원도 원주시 소초면 학곡리 900번지,"금강소나무 명품녹색길 체험, 농촌 체험, 사찰문화 체험, 군부대 체험 "," 국립공원 생태체험과 더불어 Farm stay(농촌체험), Temple stay(사찰체험) 및 Army stay(병영체험) 등 다양한 분야의 체험을 통하여 자연과 우리 문화의 소중함을 느끼고 삶의 활력소를 되찾는 치악산 대표 프로그램입니다. "
10,FTA와 함께 하는 녹색공간속 건강찾기(1박2일),"자연생태체험,",강원도 원주시 소초면 학곡리 900번지 ,"금강소나무 명품녹색길 체험, 농촌 체험, 사찰문화 체험, 군부대 체험"," 국립공원의 자연해설에 F(팜스테이), T(템플스테이), A(아미스테이) 체험을 가미함으로써 수평형 탐방문화 유도를 통한 국립공원 훼손을 최소화 하고 지역경제 활성화에도 도움을 줄수있는 고품격 생태관광"
11,자연과 문화가 있는 치악산 수학여행,"문화생태체험,아동·청소년 체험학습,건강나누리캠프",강원도 원주시 소초면 학곡리 900번지 ,"강원감영, 국립공원 에코투어 해설, 멸종위기동식물원, 농촌체험, 박경리 문학공원, 템플스테이 체험, 레크레이션, 고판화 박물관 "," 수려한 경관의 치악산 국립공원은 강원권의 교통요지인 원주시에 인접해 있어 수도권과의 거리가 가깝습니다. 자연을 제대로 느낄 수 있는 국립공원 에코투어의 다양한 프로그램을 통해 색다른 수학여행을 즐길 수 있습니다. 문화가 있는 수학여행으로서 박경리 문학관과 고판화 박물관을 통해 다양한 전시물 관람과 판화 체험 등을 할 수 있습니다. 아름다운 자연과 함께 하고 싶다면 야영을, 체험형 숙박을 원한다면 템플스테이를, 지역주민의 따뜻한 마음을 느끼고 싶다면 민박을 선택 할 수 있는 숙박의 다양화가 구축되어 있습니다. 자연의 향기를 제대로 느끼고 색다른 체험을 원한다면 '자연과 문화가 있는 치악산 수학여행'에 참여해 보시길 바랍니다. "
12,오감만족! 오대산 에코 어드벤처 투어,아동·청소년 체험학습,강원도 평창군 일대,"1일차: 어름치마을 인근 탐방, 2일차: 오대산국립공원 탐방, 3일차: 봉평마을 탐방"," 1일차: 백룡동굴, 민물고기생태관 체험, 칠족령 트레킹 2일차: 대관령 양떼목장, 신재생 에너지전시관, 오대산국립공원 3일차: 이효석 문학관, 봉평마을"
13,오대산국립공원 힐링캠프,"숲 치유,",강원도 평창군 진부면,"선재길, 한국자생식물원, 전나무숲, 월정사, 방아다리약수", 천년의 숲으로 불리는 오대산 전나무숲과 선재길에서 다양한 숲치유 프로그램 체험
14,소금강 지역문화 체험,"자연생태,",강원도 평창군 진부면,"소금강, 삼산테마파크", 오대산국립공원의 대표 경관인 소금강지구에서 대자연의 아름다움을 제대로 즐긴다.
15,(1박2일)자연으로 떠나는 행복여행,"문화생태체험,자연생태체험,",강원도 평창군 진부면,"오대산국립공원 전나무숲, 월정사, 상원사, 신재생에너지전시관, 대관령 양떼목장, 한국자생식물원, 허브나라"," - 전나무숲 생태체험 - 월정사, 상원사 역사문화 체험 - 대관령 양떼목장 체험  - 신재생에너지관 체험 - 한국자생식물원 체험 - 허브나라 체험"
16,숲과 테마가 있는 우이령으로의 여행,"문화생태체험,",경기도 양주시 교현리,문화생태체험, 문화생태체험
17,도봉산 할아버지와 함께하는 공연여행,"문화생태체험,",경기도 의정부시,문화생태체험, 문화생태체험
18,지리산 800리길,느낄거리,경상남도 ,함양분소 - 뱀사골탐방안내소 - 성삼재 - 삼성궁 - 최참판댁 - 매암다원 - 중산리탐방안내소,
19,한려해상국립공원으로 떠나는 자연여행,"자연생태체험,",경상남도 거제 일원,"지심도, 조선해양문화관 등", 한려해상국립공원 거제해금강지구를 탐방하는 일정으로 동백섬으로 알려진 아름다운 섬 지심도를 비롯하여 조선해양문화관 탐방까지! 즐거운 일정으로 채워져 있습니다. 
20,[수학여행] 아주 특별한 지리산여행(2박3일형),"아동·청소년 체험학습,",경상남도 산청군 시천면 사리 922-18,"1일차-대원사템플스테이 /  2일차-남명조식유적, 지리산중산리탐방안내소,도인촌마을,청학동 예절교실 / 3일차-평사리 최참판댁, 운조루, 지리산종복원센터"," 스쳐지나가는 여행이 아닌 몸과 마음으로 체험하는 지리산의 태고적 자연생태, 인문지리, 역사문화를 알아가는 지리산생명 찾기 여행입니다."
21,건강한 숲 생태계 이야기,",건강나누리캠프,",경상남도 남해군,"남해 편백 숲 속에서 진행되는 아토피 천식 극복캠프(남해금산, 편백휴양림, 나비생태공원)"," 남해 바다를 옆에 둔 울창한 편백림 속에서 숲해설가, 전문 의료진과 함께하는 자연 속 건강한 생활 체험 "
22,[지역연계 프로그램] 다함께 한려해상 청정바다 보물찾기,"자연생태체험,",경상남도 남해군 상주면 상주리 634번지,"두모마을 전통어로체험 '개매기 체험' 참여, '내가 좋아하는 청정바다 생물' 해설프로그램 진행", 밀물과 썰물 자연의 원리를 이용한 전통어로체험과 국립공원 자연해설을 통해 한려해상 국립공원 청정바다를 체험합니다
